WorkTimeInSeconds,Answer.Validation.check,Answer.q1-worker-city,Answer.q2-hidden-gem,Answer.q3-google-maps-url,Answer.q4-cultural-site.culture,Answer.q4-entertainment-center.entertainment,Answer.q4-food-place.food,Answer.q4-historical-landmark.historical-landmark,Answer.q4-museum.museum,Answer.q4-natural.nature,Answer.q4-other.other,Answer.q4-specialty-store.store,Answer.q4-waterfront.waterfront,Answer.q5-afternoon.afternoon,Answer.q5-anytime.anytime,Answer.q5-evening.evening,Answer.q5-morning.morning,Answer.q6-Spring.spring,Answer.q6-fall.fall,Answer.q6-other.other,Answer.q6-summer.summer,Answer.q6-winter.winter,Answer.q7-why-visit,Answer.q8-popularity
149,TRUE,Albany,Fuze Box Nightclub,https://goo.gl/maps/GByvFgx5tnjrKwET6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,An amazing night club venue. Lot's of cool events that are not always well attended. Great atmosphere and artistic decorations. My favorite soundsystem around.,4
86,TRUE,Monticello,Nellies,https://www.bing.com/maps?q=nellys+restaurant+monticello+ny&cvid=37eb22feca674617a4b315298685c65c&aqs=edge..69i57j0.7335j0j1&pglt=299&FORM=ANNTA1&PC=U531,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,It has an attached bar next to the restaurant which makes it the perfect daytime and night time venue.,6
145,TRUE,Grand Island,Dick & Jenny's,https://www.dickandjennysny.com/,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"""Transplant"" from New Orleans offering great Cajun food and cocktails.",4
132,TRUE,New York City,Monkey Bar,"Rome, Metropolitan City of Rome, Italy",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,its nice to relax good to eat as well a good place to just let go.,5
363,TRUE,Syracuse,Dinasouer barbeque,https://www.dinosaurbarbque.com/syracuse/,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,the best barbque and blues bands in town its located in the downtown syracuse area.,10
806,TRUE,New York City,Satue of liberty,"https://www.google.com/maps/place/Statue+of+Liberty+National+Monument/@40.6892494,-74.0466891,17z/data=!3m1!4b1!4m5!3m4!1s0x89c25090129c363d:0x40c6a5770d25022b!8m2!3d40.6892494!4d-74.0445004",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"The Statue of Liberty stands in Upper New York Bay, a universal symbol of freedom. Originally conceived as an emblem of the friendship between the people of France and the U.S. and a sign of their mutual desire for liberty, over the years the Statue has become much more. ... It represents the United States itself",10
397,TRUE,Brooklyn,Industry City,https://goo.gl/maps/uLoda7SW23FN1j1dA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"We have a three year old. This place, especially during the pandemic, is terrific. It has a ton of restaurants, bars, distilleries, etc. It has open spaces. It is rad.",6
63,TRUE,New York City,Manhattan,"https://www.google.com/maps/place/Manhattan,+New+York,+NY/data=!4m2!3m1!1s0x89c2588f046ee661:0xa0b3281fcecc08c?sa=X&ved=2ahUKEwioxbz82LHwAhXHRDABHSC0D30Q8gEwAHoECAQQAQ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,nice views with good landscape.,10
148,TRUE,New York City,Union Square Market,"https://www.google.com/maps/place/Union+Square+Greenmarket/@40.7367221,-73.990226,15z/data=!4m2!3m1!1s0x0:0x1e491fafbfbceda2?sa=X&ved=2ahUKEwjZ2snD9q_wAhXUZc0KHR89BqUQ_BIwHnoECDUQBQ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"farm fresh food, food stalls, girl watching, baked goods.",6
4104,TRUE,New York City,Brooklyn Night Bazar,https://www.google.com/maps/place/whispering+in+grand+central+terminal/@40.7524961,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,the gem was all particular dicision time in vertual place.,6
549,TRUE,New York City,"A brownstone house in park slope (640 2nd St Brooklyn, NY 11215)","https://www.google.com/maps/place/640+2nd+St,+Brooklyn,+NY+11215/@40.6691652,-73.9740193,15z/data=!4m13!1m7!3m6!1s0x89c25b05ccc3a32b:0xb133f8b06bf71a9c!2s640+2nd+St,+Brooklyn,+NY+11215!3b1!8m2!3d40.6689719!4d-73.974112!3m4!1s0x89c25b05ccc3a32b:0xb133f8b06bf71a9c!8m2!3d40.6689719!4d-73.974112",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,the townhouse where President Barack Obama lived in the mid-1980's.,4
736,TRUE,New York City,An overlooked tourist,https://www.google.com/search?q=www.google.+com%2Fmaps%2Fplace%2Fwhispering%2BGallery%2BinGrand%2BCentral%2BTerminal%2F%4040.7524961&oq=www.google.+com%2Fmaps%2Fplace%2Fwhispering%2BGallery%2BinGrand%2BCentral%2BTerminal%2F%4040.7524961&aqs=chrome..69i57j69i64.2097j0j7&sourceid=chrome&ie=UTF-8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"It is a striking jewel, going to see it provides instruction, fill with knowledge. Not only seeing it, knowing about others that are in the place, I totally recommend the place and everything that it will provide.",10
7057,TRUE,New York City,Statue of Liberty,https://www.google.com/maps/dir//statue+of+liberty+location/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c25090129c363d:0x40c6a5770d25022b?sa=X&ved=2ahUKEwjeppuh0a_wAhVJQBoKHX1MA4IQ9RcwAHoECAgQBA&hl=en,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,It is a sign of American freedom.,9
199,TRUE,New York City,Brooklyn Museum,"https://www.google.com/maps/dir/40.6719662,-73.9643196/brooklyn+kaws+museum/@40.6713152,-74.0336708,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89c25b0a449c39c9:0xc62355aa46c985fa!2m2!1d-73.9636306!2d40.6712062",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"One of the coolest museums in NYC . Great exhibits,  not too crowded,  staff is amazing.",7
1268,TRUE,New York City,Frank Restaurant,"https://www.google.com/maps/place/Frank/@40.7268777,-73.9886954,15z/data=!4m5!3m4!1s0x0:0x8ddeaf2ddf9120a0!8m2!3d40.7268777!4d-73.9886954",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Is the perfect place if you are looking for fresh made pasta and great wine.,3
325,TRUE,New York City,Please Don't Tell Secret Bar,"https://www.google.com/maps/place/Please+Don't+Tell/@40.7271371,-73.9837411,15z/data=!4m2!3m1!1s0x0:0x9d16a571af581047?sa=X&ved=2ahUKEwjJ3Y_UhbDwAhXysDEKHdVJDn8Q_BIwFHoECB4QBQ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,It's a great place for a friendly gathering. I used to go this place with my collogues and friends.,10
254,TRUE,New York City,Alba's Pizza,"https://www.google.com/maps/place/Alba's/@40.7093092,-73.8188174,15z/data=!4m5!3m4!1s0x0:0xba8e4a6471f3234c!8m2!3d40.7093092!4d-73.8188174",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Because this place has nice customer service that listens attentively. They also have a lot of value for less i.e. has the same price as Domino's Pizza but tastes better, has a bigger portion, is made and served in a cleaner way, and just overall looks better.",3
874,TRUE,Virginia,"Miniature Graceland, Roanoke",https://www.roadsideamerica.com/story/2232,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"It's a place where everythiing was associated with Elvis Presley, but the person who bulit this small world of a famous singer, has passed away so it's not at it's best condition, last when we visited. It used to be hidden gem now it just an abandoned place.",3
241,TRUE,New York City,Irish Famine Memorial,https://www.google.com/maps?q=irish+famine+memorial&iflsig=AINFCbYAAAAAYJHg856glaPLQhwOcmNbB3kDCz-Jeea4&gs_lcp=Cgdnd3Mtd2l6EAMyCwguEMcBEK8BEJMCMggILhDHARCvATIICC4QxwEQrwEyCAguEMcBEK8BMgIIADICCAAyCAguEMcBEK8BMggILhDHARCvATIICC4QxwEQrwEyCAguEMcBEK8BOggIABCxAxCDAToLCC4QsQMQxwEQowI6BQgAELEDOggILhCxAxCDAToOCC4QsQMQxwEQowIQkwI6BQguELEDOgIILjoOCC4QsQMQxwEQrwEQkwI6CgguEMcBEKMCEAo6BAguEAo6BAgAEAo6BwguELEDEAo6BwgAELEDEAo6CgguEMcBEK8BEAo6BQgAEMkDOgUIABCSA1C0DVjbN2CVOmgFcAB4AIABhAGIAegSkgEFMTUuMTCYAQCgAQGqAQdnd3Mtd2l6sAEA&uact=5&um=1&ie=UTF-8&sa=X&ved=2ahUKEwjbr5TFkbHwAhUETd8KHRt5B4IQ_AUoAnoECAEQBA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,I would recommend this hidden gem because it is a unique piece of Irish heritage. It is interesting to be able to stand on a piece of Ireland soil while in New York and looking at New Jersey.,5
72,TRUE,Brooklyn,Vander Ende–Onderdonk House,"https://www.google.com/maps/place/Vander+Ende%E2%80%93Onderdonk+House/@40.710917,-73.9222206,17z/data=!3m1!4b1!4m5!3m4!1s0x89c25ea6977c6523:0x3f33328d99f8588c!8m2!3d40.7108368!4d-73.9201149",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,It's very affordable and you can hang out there all day.,3
100,TRUE,New York City,West Side Highway,"https://www.google.com/maps/place/West+Side+Hwy,+New+York,+NY/@40.7755364,-73.9936628,17z/data=!3m1!4b1!4m5!3m4!1s0x89c25863e109ae75:0xdf135b006453638!8m2!3d40.7755364!4d-73.9914741",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"ABSOLUTELY GORGEOUS-The Joe DiMaggio Highway, commonly called the West Side Highway and formerly the Miller Highway, is a 5.42-mile-long mostly surface section of New York State Route 9A, running from West 72nd Street along the Hudson River to the southern tip of Manhattan in New York City.",10
3138,TRUE,il,brooklyn,https//www.google.com/maps/places/whispering+gallery+in+grand+central+termina@40,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Hidden Gems We Proudly Display on Our Shelves ... of a novel that I happily push on anyone who is looking for book recommendations.,6
173,TRUE,New York City,East River Ferry,https://www.ferry.nyc/routes-and-schedules/landing/east-90th-street/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Great way to see the city. A beautiful view from the ferry.,6
152,TRUE,New York City,Museum of Math,"https://www.google.com/maps/place/National+Museum+of+Mathematics/@40.7434842,-73.9872222,15z/data=!4m2!3m1!1s0x0:0x8798ba3704f2bc28?sa=X&ved=2ahUKEwjlptvcpLjwAhXFRxUIHcTXB94Q_BIwHnoECCsQBQ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,One of the corners of Madison Square Park.,4
266,TRUE,New York City,New York Firefighters Museum,"https://www.google.com/maps/place/New+York+City+Fire+Museum/@40.7255556,-74.0069444,15z/data=!4m2!3m1!1s0x0:0xd1c2639441a1b304?sa=X&ved=2ahUKEwjp8o7UpLjwAhV4aRUIHXgSB3sQ_BIwH3oECDAQBQ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Gives a history of New York's firefighters and 9/11 heroes.,7
525,TRUE,New York City,Carl Schurz Park,"https://www.google.com/maps/place/Carl+Schurz+Park,+East+86th+Street+%26,+East+End+Ave,+New+York,+NY+10028/@40.7751302,-73.9436973,13z/data=!4m2!3m1!1s0x89c258b13c4e67e3:0x330ceb7e46517d47?hl=en-us",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"This park is absolutely beautiful. It runs along the East River on the Upper East Side, and has a bunch of winding walkways that take you through archways and lush gardens. It’s a true gem in NYC.",4
380,TRUE,New York City,Pip Pio,https://www.google.com/search?gs_ssp=eJzj4tZP1zcsSc8wrjApN2C0UjWosLBMNjK1SExLSzE3NDYxS7MyqEg1MTIxNTYwTzJKMUgxMjL14izIzFcAYWMAMxERdw&q=pio+pio+3&rlz=1CDGOYI_enGB843GB843&oq=pio+pio+3&aqs=chrome.1.0i20i263i355j46i20i175i199i263j46i175i199j0i20i263j0.8757j0j4&hl=en-GB&sourceid=chrome-mobile&ie=UTF-8#,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Great food and ambience. Great Peruvian food and amazing chicken.,8
148,TRUE,Moriches,Moriches Bay Diner,https://maps.app.goo.gl/W7ERCvgKUYnRWdhR8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Good food and a low price.,3