Location,Correct_Type
"Off Street Cafe, Cerritos, California",food
"Benicia State Capitol Historic Park (Previous Capitol of California), Benicia, California",historical
"Asian Mll, Westminster, California",food
"San Bernandino County Museum, Big Bear City, California",museum
"Linda Falls, Napa, California, California",natural
"Fullerton Arboretum, Placentia, California",natural
"Gilroy Gardens, Sunnyvale, California",entertainment
"Tour the city of Leh with local royalty, meet local monks",other
"San Pedro Square, San Jose, California",food
"WILDCAT CANYON REGIONAL PARK, RICHMOND, California",natural
"Brea Redwood Grove, Yorba Linda, California",natural
"Spreckels Organ Pavilion, San Diego, California",entertainment
"ECHO PARK, USA, California",waterfront
"ECHO PARK, los angeles, California",natural
"underground tour by sacramento history museum, sacramento, California",museum
"Observatory, Los Angelas, California",museum
"Long Island Mike Pizza, San Diego, California",food
"Beach Boys Historic Landmark, Hawthorne, California",historical
"Mo's Egg House, Temecula, California",food
"Museum of Death, Los Angeles, California",museum
"Mono Lake, California, California",waterfront
"Aztec Bowl, San Diego, California",entertainment
"A hidden gem in my local area is Taco Nazo., Los Angeles, California",food
"The Living Desert, Palm Desert, California",natural
"Great Park Ballon Ride, Irvine, CA, California",other
"Lake Balboa/Anthony C. Beilenson Park, Los Angeles, California",natural
"CA, USA, California",other
"Six flags, Fairfield, California",other
"Point Loma Lighthouse, San Diego, California",cultural
"Griffith Quarry Museum, Roseville, California",museum
"Griffith Park, Los Angeles, California",natural
"Bijan Bakery, san jose, California",food
"Filoli, Woodside, California",other
"Indo Restaurant, Palo Alto, California",food
"Fraizer Mountain, Los Angeles, California",natural
"Upper Kern River, Johnsondale, California",other
"Cedar Creek Pizza, Glenville, California",food
"Jesse Ball Dupont Park, Jacksonville, Florida",other
"Indian Rocks Beach, Largo, Florida",waterfront
"Museum of Art and Science, Daytona Beach, Florida",museum
"Weeki Wachee Springs State Park, Weeki Wachee, Florida",natural
"The Black Creek Trail, Orange Park, Florida",natural
"The New Standard, Orlando, Florida",food
"Dry Tortugas national park, Miami, Florida",natural
"Loxahatchees Park, Stuart, Florida",natural
"Corkscrew Swamp Sanctuary, Naples, Florida",natural
"Jennings State Forest, Jacksonville, Florida",natural
"Audubon Corkscrew Swamp Sanctuary, Bonita Springs, Florida",natural
"Under The Mango Tree, Miami, Florida",food
"Pass-A-Grille an eclectic part of Americana with roof top dinning overlooking the Gulf of Mexico., St Pete Beach, Florida",other
"The English Muffin, Hampstead, Florida",food
"Homosassa Springs State Wildlife Park, Homosassa, Florida",other
"Robert K. Rees Memorial Park, New Port Richey, Florida",waterfront
"Sky Wheel, Panama City, Florida",other
"vista view park, Miami, Florida",other
"Moccasin Slough Park, Fleming Island, Florida",natural
"Busch Garden, Tampa Bay, Florida",entertainment
"national park, Winter Park, Florida",natural
"Pulse Memorial, Orlando, Florida",historical
"restaurant Oceans 234, Deerfield Beach, Florida",food
"Google Walter Moryan @ Amazon.com, Deltona, Florida",other
"Harry P. Leu gardens, Orlando, Florida",natural
"Mickler Beach, Jacksonville, Florida",waterfront
"Bern's Steakhouse, Tampa, Florida",food
"Fuze Box Nightclub, Albany, New York",entertainment
"Nellies, Monticello, New York",food
"Dick & Jenny's, Grand Island, New York",food
"Monkey Bar, New York City, New York",other
"Dinasouer barbeque, Syracuse, New York",food
"Satue of liberty, New York City, New York",historical
"Industry City, Brooklyn, New York",food
"Manhattan, New York City, New York",other
"Union Square Market, New York City, New York",other
"Brooklyn Night Bazar, New York City, New York",entertainment
"A brownstone house in park slope (640 2nd St Brooklyn, NY 11215), New York City, New York",other
"An overlooked tourist, New York City, New York",museum
"Statue of Liberty, New York City, New York",historical
"Brooklyn Museum, New York City, New York",museum
"Frank Restaurant, New York City, New York",food
"Please Don't Tell Secret Bar, New York City, New York",food
"Alba's Pizza, New York City, New York",food
"Miniature Graceland, Roanoke, Virginia, New York",museum
"Irish Famine Memorial, New York City, New York",cultural
"Vander Ende Onderdonk House, Brooklyn, New York",historical
"West Side Highway, New York City, New York",waterfront
"brooklyn, il, New York",other
"East River Ferry, New York City, New York",waterfront
"Museum of Math, New York City, New York",museum
"New York Firefighters Museum, New York City, New York",museum
"Carl Schurz Park, New York City, New York",natural
"Pip Pio, New York City, New York",food
"Moriches Bay Diner, Moriches, New York",food
"The Jimmy Stewart Museum, Indiana, Pennsylvania",museum
"Wildwood Park, Harrisburg, Pennsylvania",natural
"Heather Farm Park, Walnut Creek, CA, Pennsylvania",natural
"Carnegie Museum, Pittsburgh, Pennsylvania",museum
"The White Rabbit Cafe, Greensburg, Pennsylvania",food
"Lehigh Valley Zoo, Allentown, Pennsylvania",natural
"Weavers Orchard, Reading, Pennsylvania",museum
"Preeti's Pitt, Pittsburgh, Pennsylvania",food
"Shilla's BBQ, Gardena, Pennsylvania",food
"Midtown Scholar Bookstore, Harrisburg, Pennsylvania",store
"Beltzville Lake, Kunkletown, Pennsylvania",other
"Koreana, Philadelphia, Pennsylvania",food
"Octopus Falafel Truck, Philadelphia, Pennsylvania",food
"Little Sicily Pizza, Philadelphia, Pennsylvania",food
"The Morris Arboretum, Philadelphia, Pennsylvania",natural
"Reading Terminal, Philadelphia, Pennsylvania",food
"KnockerBox cafe, Philadelphia, Pennsylvania",food
"Cherry Street Tavern, Philadelphia, Pennsylvania",food
"Menakshi Temple, Pearland, Texas",other
"Carver Museum, Austin, Texas",museum
"Park, Texas, Texas",other
"Bayou Burp Button, Houston, Texas",natural
"San Antonio River Walk, Texas, Texas",waterfront
"Puerto Vallarta Grill, El Paso, Texas",food
"The Jay Cafe, Texas, Texas",food
"Le Bernardin, New York, Texas",food
"Holiday Inn Lubbock South, Lubbock, Texas",other
"Japanese Garden, Houston, Texas",natural
"Buffalo Bayou, Houston, Texas",waterfront
"Passport to Edan, Dallas, Texas",other
"Airfield Falls, Weatherford, Texas",waterfront
"Reunion Tower, Dallas, Texas",food
"Koughan Memorial Water Tower Park, Round Rock, Texas",historical
"Winspear Opera House, Dallas, Texas",other
"The Waterwall, Houston, Texas",other
"Casa De Castillo, Waco, Texas",food
"Dallas Arboretum and Botanical Garden, Dallas, Texas",natural
"Samurai Collection, Dallas, Texas",museum
"Little Gretel Restaurant, Texas, Texas",food
"McKinney Falls State Park, Austin, Texas",natural
"Chamizal National Memorial, El Paso, Texas",historical
"Desert Gardens, Texas, Texas",natural
"Mount Bonnell, Texas, Texas",historical